name	norad	classification	int_desig	epoch_year	epoch_day	dn_o2	ddn_o6	bstar	set_num	inc	raan	ecc	argp	M	n	rev_num	epoch
ARIANE 44LP DEB	33546	U	88109V	2022	92.56357562	4.30E-07	0	0.0034085	999	7.2113	73.6588	0.712295	37.2181	85.9994	2.23317107	14181	31:32.9
ARIANE 44LP DEB	33547	U	88109W	2022	92.79407114	2.47E-05	0	0.019307	999	6.5782	116.9014	0.7091757	310.9845	6.4371	2.37371063	18773	03:27.7
ARIANE 2 DEB	33551	U	89006AT	2022	92.75479503	-1.67E-06	0	0	999	8.788	226.3198	0.6880378	175.3389	207.8293	2.2096027	6405	06:54.3
ARIANE 2 DEB	33556	U	89006AY	2022	83.94072634	-1.36E-06	0	-0.00021721	999	9.8657	10.22	0.7122468	211.6403	72.3987	2.29841497	6671	34:38.8
ARIANE 2 DEB	33557	U	89006AZ	2022	88.51511382	-2.73E-06	0	0	999	9.6615	47.1084	0.695341	154.1009	355.7893	2.23053187	733	21:45.8
ARIANE 2 DEB	33558	U	89006BA	2022	91.44024221	-4.90E-07	0	0	999	10.1233	106.7743	0.6941962	27.8092	356.4363	2.21929543	7064	33:56.9
ARIANE 2 DEB	33560	U	89006BC	2022	92.45846513	-1.90E-06	0	-0.0012921	999	10.3402	211.4438	0.7079746	155.0902	293.8272	2.2509273	14623	00:11.4
ARIANE 2 DEB	33561	U	89006BD	2022	93.21482162	-1.78E-06	0	0	999	9.1094	34.6781	0.6984686	189.5236	354.3563	2.22230801	14090	09:20.6
ARIANE 2 DEB	33562	U	89006BE	2022	92.21311319	-5.32E-06	0	-0.021887	999	8.0281	276.2298	0.7071948	71.4075	349.0795	2.23541166	76	06:53.0
ARIANE 2 DEB	33567	U	89006BK	2022	89.49930411	5.92E-06	0	0.025342	999	8.7626	113.9042	0.7075487	16.5791	8.7361	2.2604641	14435	58:59.9
ARIANE 2 DEB	33568	U	89006BL	2022	86.97083231	7.70E-07	0	0.0014204	999	7.9382	228.7305	0.7190417	154.5762	273.1649	2.29348386	8075	17:59.9
ARIANE 2 DEB	33574	U	89006BS	2022	92.29591351	-2.21E-06	0	-0.00090821	999	8.7087	10.9002	0.7129886	231.6889	291.1282	2.28003225	13453	06:06.9
ARIANE 2 DEB	33578	U	89006BW	2022	92.51624082	2.73E-06	0	0.0024017	999	7.8904	272.6841	0.7168153	69.5548	350.0468	2.29857691	12970	23:23.2
ARIANE 2 DEB	33579	U	89006BX	2022	93.14716413	-3.97E-06	0	-0.018117	999	10.8272	264.7391	0.7065878	44.6336	83.8177	2.2464625	16055	31:55.0
ARIANE 2 DEB	33581	U	89006BZ	2022	90.42151628	-1.50E-07	0	0.001164	999	8.929	349.1039	0.7131491	273.204	321.1169	2.2926051	713	06:59.0
ARIANE 2 DEB	33584	U	89027E	2022	92.8631666	5.80E-05	0	0.0050188	999	5.8463	120.0804	0.6145137	224.712	65.3212	3.742897	30338	42:57.6
ARIANE 44L DEB	33590	U	91003T	2022	92.75976649	8.28E-06	0	0.012273	999	7.214	93.9326	0.6799497	12.2809	69.1528	2.67139169	8947	14:03.8
NOAA 19	33591	U	09005A	2022	93.12500072	1.55E-06	0	0.00010913	999	99.1573	125.6476	0.0014467	43.111	317.1192	14.12543984	67781	00:00.1
EXPRESS AM-44	33595	U	09007A	2022	92.3686414	-9.90E-07	0	0	999	0.0301	309.3825	8.18E-05	141.9965	221.0019	1.00271802	4814	50:50.6
EXPRESS MD1	33596	U	09007B	2022	92.61180914	-2.30E-07	0	0	999	6.6868	65.7634	0.0014013	322.8874	288.6298	0.99109646	4783	41:00.3
BREEZE-M R/B	33598	U	09007D	2022	92.75767324	-3.05E-06	0	0	999	9.6492	47.1052	0.0212014	25.9038	171.6118	0.97632592	4727	11:03.0
FENGYUN 1C DEB	33599	U	99025DCG	2022	92.0449238	8.65E-05	0	0.0010555	999	96.645	23.6581	0.0298698	121.292	241.7899	14.56557642	46068	04:41.4
FENGYUN 1C DEB	33600	U	99025DCH	2022	92.46938252	0.00022515	0	0.00209	999	96.2921	171.2229	0.0242232	352.8358	6.9414	14.74680564	39611	15:54.7
FENGYUN 1C DEB	33601	U	99025DCJ	2022	93.16035487	1.90E-05	0	0.0011647	999	98.3478	349.3569	0.0175275	9.8286	350.6237	13.99582491	71769	50:54.7
FENGYUN 1C DEB	33603	U	99025DCL	2022	92.63752413	1.22E-05	0	0.00012971	999	98.8494	247.3747	0.0244927	353.6161	6.1939	14.71739065	78954	18:02.1
FENGYUN 1C DEB	33605	U	99025DCN	2022	92.36004778	6.21E-06	0	0.00041225	999	98.7616	126.6041	0.0057517	274.4118	98.6575	14.04226334	40846	38:28.1
FENGYUN 1C DEB	33612	U	99025DCV	2022	92.89640736	1.83E-05	0	0.0012903	999	98.598	131.2339	0.0122522	280.9905	77.7497	13.95519658	74576	30:49.6
FENGYUN 1C DEB	33613	U	99025DCW	2022	92.40269193	3.06E-05	0	0.0015343	999	98.7957	155.5426	0.0036833	41.0213	319.3722	14.17010522	45297	39:52.6
FENGYUN 1C DEB	33617	U	99025DDA	2022	91.96040428	0.00069033	0	0.00124	999	98.0324	349.2333	0.0090596	236.1856	123.0741	15.4512099	57258	02:58.9
FENGYUN 1C DEB	33618	U	99025DDB	2022	91.38264362	2.22E-05	0	0.00049181	999	98.6739	129.4474	0.0206264	301.103	57.0067	14.46013806	77167	11:00.4
FENGYUN 1C DEB	33619	U	99025DDC	2022	92.42154023	1.51E-05	0	0.00090642	999	98.9487	155.5515	0.0058113	258.7935	100.6698	14.07634682	44571	07:01.1
